miRNA,disease,preScore
hsa-mir-4448,Colorectal Neoplasms,0.332
hsa-mir-3662,Colorectal Neoplasms,0.3319
hsa-mir-548a-1,Colorectal Neoplasms,0.3289
hsa-mir-4672,Colorectal Neoplasms,0.3255
hsa-mir-2682,Colorectal Neoplasms,0.3249
hsa-mir-4480,Colorectal Neoplasms,0.3241
hsa-mir-934,Colorectal Neoplasms,0.3241
hsa-mir-3161,Colorectal Neoplasms,0.3213
hsa-mir-711,Colorectal Neoplasms,0.3212
hsa-mir-3185,Colorectal Neoplasms,0.3181
hsa-mir-2861,Colorectal Neoplasms,0.3179
hsa-mir-1237,Colorectal Neoplasms,0.3171
hsa-mir-4488,Colorectal Neoplasms,0.3146
hsa-mir-875,Colorectal Neoplasms,0.3134
hsa-mir-1302-1,Colorectal Neoplasms,0.3122
hsa-mir-1238,Colorectal Neoplasms,0.312
hsa-mir-892b,Colorectal Neoplasms,0.312
hsa-mir-6873,Colorectal Neoplasms,0.3104
hsa-mir-1265,Colorectal Neoplasms,0.3072
hsa-mir-1302-7,Colorectal Neoplasms,0.3043
hsa-mir-4423,Colorectal Neoplasms,0.3037
hsa-mir-611,Colorectal Neoplasms,0.3036
hsa-mir-4505,Colorectal Neoplasms,0.2983
hsa-mir-4753,Colorectal Neoplasms,0.2955
hsa-mir-1302-3,Colorectal Neoplasms,0.2953
hsa-mir-517b,Colorectal Neoplasms,0.2952
hsa-mir-586,Colorectal Neoplasms,0.2941
hsa-mir-3614,Colorectal Neoplasms,0.2929
hsa-mir-4454,Colorectal Neoplasms,0.2925
hsa-mir-1302-5,Colorectal Neoplasms,0.2911
hsa-mir-1294,Colorectal Neoplasms,0.2902
hsa-mir-487a,Colorectal Neoplasms,0.2901
hsa-mir-1302-8,Colorectal Neoplasms,0.2891
hsa-mir-6075,Colorectal Neoplasms,0.2884
hsa-mir-555,Colorectal Neoplasms,0.2879
hsa-mir-4721,Colorectal Neoplasms,0.2863
hsa-mir-1276,Colorectal Neoplasms,0.2855
hsa-mir-1302-4,Colorectal Neoplasms,0.2854
hsa-mir-6836,Colorectal Neoplasms,0.2832
hsa-mir-3925,Colorectal Neoplasms,0.2821
hsa-mir-642b,Colorectal Neoplasms,0.2803
hsa-mir-4436b-2,Colorectal Neoplasms,0.2802
hsa-mir-3909,Colorectal Neoplasms,0.2773
hsa-mir-548k,Colorectal Neoplasms,0.2768
hsa-mir-4476,Colorectal Neoplasms,0.2759
hsa-mir-941-1,Colorectal Neoplasms,0.2753
hsa-mir-941-3,Colorectal Neoplasms,0.274
hsa-mir-2278,Colorectal Neoplasms,0.274
hsa-mir-3945,Colorectal Neoplasms,0.274
hsa-mir-1976,Colorectal Neoplasms,0.2679
hsa-mir-4649,Colorectal Neoplasms,0.2636
hsa-mir-1302-2,Colorectal Neoplasms,0.2612
hsa-mir-1302-6,Colorectal Neoplasms,0.2603
hsa-mir-4429,Colorectal Neoplasms,0.2475
hsa-mir-676,Colorectal Neoplasms,0.2447
hsa-mir-1827,Colorectal Neoplasms,0.2446
hsa-mir-596,Colorectal Neoplasms,0.2435
hsa-mir-1295a,Colorectal Neoplasms,0.2428
hsa-mir-548b,Colorectal Neoplasms,0.2385
hsa-mir-4793,Colorectal Neoplasms,0.2369
hsa-mir-1909,Colorectal Neoplasms,0.2336
hsa-mir-6886,Colorectal Neoplasms,0.2329
hsa-mir-4717,Colorectal Neoplasms,0.227
hsa-mir-3138,Colorectal Neoplasms,0.225
hsa-mir-641,Colorectal Neoplasms,0.2191
hsa-mir-4639,Colorectal Neoplasms,0.2051
hsa-mir-6720,Colorectal Neoplasms,0.1901
hsa-mir-222,Leukemia,0.7998
hsa-mir-106b,Leukemia,0.767
hsa-mir-146b,Leukemia,0.7666
hsa-mir-93,Leukemia,0.7565
hsa-mir-106a,Leukemia,0.7504
hsa-mir-132,Leukemia,0.726
hsa-mir-25,Leukemia,0.7227
hsa-mir-29c,Leukemia,0.7204
hsa-mir-182,Leukemia,0.7194
hsa-let-7g,Leukemia,0.7121
hsa-let-7d,Leukemia,0.7099
hsa-mir-100,Leukemia,0.7073
hsa-mir-98,Leukemia,0.7053
hsa-mir-214,Leukemia,0.7043
hsa-let-7e,Leukemia,0.6972
hsa-mir-23b,Leukemia,0.6953
hsa-mir-192,Leukemia,0.6949
hsa-let-7c,Leukemia,0.6933
hsa-mir-15b,Leukemia,0.6906
hsa-mir-342,Leukemia,0.6901
hsa-mir-200c,Leukemia,0.6872
hsa-mir-30a,Leukemia,0.686
hsa-mir-26b,Leukemia,0.6852
hsa-mir-206,Leukemia,0.6797
hsa-mir-191,Leukemia,0.6742
hsa-mir-30b,Leukemia,0.6735
hsa-mir-148a,Leukemia,0.6723
hsa-let-7a-3,Leukemia,0.6684
hsa-mir-22,Leukemia,0.6676
hsa-mir-497,Leukemia,0.6631
hsa-mir-200a,Leukemia,0.6622
hsa-mir-133b,Leukemia,0.6615
hsa-let-7a-1,Leukemia,0.6593
hsa-mir-224,Leukemia,0.6572
hsa-mir-149,Leukemia,0.6561
hsa-mir-99a,Leukemia,0.6532
hsa-mir-152,Leukemia,0.6515
hsa-mir-326,Leukemia,0.6514
hsa-mir-200b,Leukemia,0.646
hsa-mir-96,Leukemia,0.6439
hsa-mir-20b,Leukemia,0.6428
hsa-mir-29b-2,Leukemia,0.64
hsa-let-7i,Leukemia,0.6385
hsa-mir-135b,Leukemia,0.6383
hsa-mir-204,Leukemia,0.6381
hsa-mir-370,Leukemia,0.6373
hsa-mir-335,Leukemia,0.6344
hsa-mir-212,Leukemia,0.631
hsa-mir-483,Leukemia,0.6307
hsa-mir-1-2,Leukemia,0.6304
hsa-mir-708,Leukemia,0.6291
hsa-mir-28,Leukemia,0.6272
hsa-mir-133a-2,Leukemia,0.6266
hsa-mir-29b-1,Leukemia,0.625
hsa-let-7a-2,Leukemia,0.6236
hsa-mir-151a,Leukemia,0.6222
hsa-mir-205,Leukemia,0.6212
hsa-mir-133a-1,Leukemia,0.6207
hsa-mir-140,Leukemia,0.619
hsa-mir-184,Leukemia,0.6184
hsa-let-7f-1,Leukemia,0.6184
hsa-mir-92b,Leukemia,0.6155
hsa-mir-449a,Leukemia,0.6153
hsa-mir-193a,Leukemia,0.6148
hsa-mir-127,Leukemia,0.6141
hsa-mir-33a,Leukemia,0.6122
hsa-mir-215,Leukemia,0.6116
hsa-mir-301a,Leukemia,0.6115
hsa-mir-7-2,Leukemia,0.6104
hsa-mir-197,Leukemia,0.6099
hsa-mir-7-3,Leukemia,0.6096
hsa-mir-130a,Leukemia,0.6094
hsa-mir-367,Leukemia,0.6088
hsa-mir-423,Leukemia,0.6087
hsa-mir-181b-2,Leukemia,0.6076
hsa-mir-30e,Leukemia,0.6057
hsa-mir-124-1,Leukemia,0.6047
hsa-mir-381,Leukemia,0.6043
hsa-mir-196a-2,Leukemia,0.6043
hsa-mir-24-1,Leukemia,0.6027
hsa-mir-494,Leukemia,0.6017
hsa-mir-7-1,Leukemia,0.5993
hsa-mir-26a-2,Leukemia,0.5992
hsa-mir-1-1,Leukemia,0.5991
hsa-mir-198,Leukemia,0.5972
hsa-mir-32,Leukemia,0.5966
hsa-mir-425,Leukemia,0.5963
hsa-mir-363,Leukemia,0.5957
hsa-mir-186,Leukemia,0.5934
hsa-mir-101-2,Leukemia,0.5915
hsa-mir-383,Leukemia,0.591
hsa-mir-503,Leukemia,0.5906
hsa-mir-429,Leukemia,0.5896
hsa-mir-18b,Leukemia,0.5883
hsa-mir-124-2,Leukemia,0.5879
hsa-mir-451a,Leukemia,0.5874
hsa-mir-141,Leukemia,0.5874
hsa-mir-542,Leukemia,0.5871
hsa-mir-26a-1,Leukemia,0.586
hsa-mir-338,Leukemia,0.5855
hsa-mir-101-1,Leukemia,0.5845
hsa-mir-328,Leukemia,0.583
hsa-mir-148b,Leukemia,0.583
hsa-mir-499a,Leukemia,0.5821
hsa-mir-124-3,Leukemia,0.5801
hsa-mir-340,Leukemia,0.5793
hsa-mir-373,Leukemia,0.5783
hsa-mir-296,Leukemia,0.5782
hsa-mir-449b,Leukemia,0.5762
hsa-mir-590,Leukemia,0.5752
hsa-mir-455,Leukemia,0.5747
hsa-mir-181c,Leukemia,0.5745
hsa-mir-196a-1,Leukemia,0.5709
hsa-mir-130b,Leukemia,0.5707
hsa-mir-33b,Leukemia,0.5692
hsa-mir-218-1,Leukemia,0.5635
hsa-mir-24-2,Leukemia,0.5623
hsa-mir-484,Leukemia,0.5611
hsa-mir-362,Leukemia,0.5608
hsa-mir-324,Leukemia,0.5601
hsa-mir-99b,Leukemia,0.5598
hsa-mir-30d,Leukemia,0.558
hsa-mir-410,Leukemia,0.5577
hsa-mir-30c-1,Leukemia,0.5565
hsa-mir-218-2,Leukemia,0.5536
hsa-mir-302b,Leukemia,0.5507
hsa-mir-187,Leukemia,0.5488
hsa-mir-185,Leukemia,0.5486
hsa-mir-345,Leukemia,0.5484
hsa-mir-30c-2,Leukemia,0.5481
hsa-mir-411,Leukemia,0.5446
hsa-mir-136,Leukemia,0.5429
hsa-mir-409,Leukemia,0.5426
hsa-mir-372,Leukemia,0.5414
hsa-mir-382,Leukemia,0.5411
hsa-mir-302a,Leukemia,0.5404
hsa-mir-520a,Leukemia,0.5378
hsa-mir-650,Leukemia,0.5375
hsa-mir-154,Leukemia,0.5372
hsa-mir-452,Leukemia,0.5369
hsa-mir-377,Leukemia,0.5353
hsa-mir-532,Leukemia,0.5326
hsa-mir-365a,Leukemia,0.5326
hsa-mir-433,Leukemia,0.5306
hsa-mir-506,Leukemia,0.5305
hsa-mir-302c,Leukemia,0.5288
hsa-mir-625,Leukemia,0.5281
hsa-mir-330,Leukemia,0.5271
hsa-mir-128-2,Leukemia,0.5253
hsa-mir-629,Leukemia,0.5251
hsa-mir-491,Leukemia,0.5228
hsa-mir-379,Leukemia,0.5222
hsa-mir-885,Leukemia,0.522
hsa-mir-361,Leukemia,0.5209
hsa-mir-194-1,Leukemia,0.518
hsa-mir-135a-2,Leukemia,0.5177
hsa-mir-181a-1,Leukemia,0.5174
hsa-mir-135a-1,Leukemia,0.5171
hsa-mir-374a,Leukemia,0.517
hsa-mir-1207,Leukemia,0.5154
hsa-mir-421,Leukemia,0.515
hsa-mir-744,Leukemia,0.5146
hsa-mir-505,Leukemia,0.5145
hsa-mir-208a,Leukemia,0.5122
hsa-mir-613,Leukemia,0.5114
hsa-mir-301b,Leukemia,0.5045
hsa-mir-202,Leukemia,0.5038
hsa-mir-489,Leukemia,0.5024
hsa-mir-103a-2,Leukemia,0.5007
hsa-mir-628,Leukemia,0.5003
hsa-mir-490,Leukemia,0.4995
hsa-mir-1246,Leukemia,0.4992
hsa-mir-188,Leukemia,0.4985
hsa-mir-431,Leukemia,0.4981
hsa-mir-520c,Leukemia,0.4977
hsa-mir-181d,Leukemia,0.4976
hsa-mir-502,Leukemia,0.4963
hsa-mir-874,Leukemia,0.4948
hsa-mir-652,Leukemia,0.4928
hsa-mir-504,Leukemia,0.4919
hsa-mir-422a,Leukemia,0.4917
hsa-mir-299,Leukemia,0.4914
hsa-mir-194-2,Leukemia,0.4914
hsa-mir-103a-1,Leukemia,0.4912
hsa-mir-520d,Leukemia,0.4889
hsa-mir-1271,Leukemia,0.488
hsa-mir-302d,Leukemia,0.4871
hsa-mir-216b,Leukemia,0.4823
hsa-mir-211,Leukemia,0.4811
hsa-mir-95,Leukemia,0.481
hsa-mir-675,Leukemia,0.4804
hsa-mir-208b,Leukemia,0.478
hsa-mir-539,Leukemia,0.4775
hsa-mir-129-2,Leukemia,0.4745
hsa-mir-376c,Leukemia,0.4721
hsa-mir-1290,Leukemia,0.4721
hsa-mir-671,Leukemia,0.4665
hsa-mir-337,Leukemia,0.4647
hsa-mir-346,Leukemia,0.4631
hsa-mir-128-1,Leukemia,0.4586
hsa-mir-365b,Leukemia,0.4581
hsa-mir-592,Leukemia,0.4572
hsa-mir-216a,Leukemia,0.4572
hsa-mir-630,Leukemia,0.4559
hsa-mir-300,Leukemia,0.4557
hsa-mir-487b,Leukemia,0.4536
hsa-mir-519d,Leukemia,0.4517
hsa-mir-582,Leukemia,0.4475
hsa-mir-760,Leukemia,0.4473
hsa-mir-942,Leukemia,0.4468
hsa-mir-766,Leukemia,0.4451
hsa-mir-369,Leukemia,0.4421
hsa-mir-584,Leukemia,0.4418
hsa-mir-374b,Leukemia,0.4414
hsa-mir-129-1,Leukemia,0.4384
hsa-mir-500a,Leukemia,0.4382
hsa-mir-384,Leukemia,0.4354
hsa-mir-501,Leukemia,0.4312
hsa-mir-873,Leukemia,0.4305
hsa-mir-1297,Leukemia,0.4279
hsa-mir-151b,Leukemia,0.4274
hsa-mir-511,Leukemia,0.427
hsa-mir-622,Leukemia,0.4269
hsa-mir-637,Leukemia,0.4223
hsa-mir-1247,Leukemia,0.4219
hsa-mir-520h,Leukemia,0.4211
hsa-mir-493,Leukemia,0.4208
hsa-mir-371a,Leukemia,0.42
hsa-mir-323a,Leukemia,0.4199
hsa-mir-765,Leukemia,0.4187
hsa-mir-190a,Leukemia,0.4151
hsa-mir-508,Leukemia,0.4149
hsa-mir-608,Leukemia,0.4139
hsa-mir-940,Leukemia,0.4138
hsa-mir-153-1,Leukemia,0.412
hsa-mir-153-2,Leukemia,0.4119
hsa-mir-665,Leukemia,0.4067
hsa-mir-636,Leukemia,0.3987
hsa-mir-510,Leukemia,0.3986
hsa-mir-543,Leukemia,0.3942
hsa-mir-939,Leukemia,0.3915
hsa-mir-570,Leukemia,0.3889
hsa-mir-1228,Leukemia,0.3877
hsa-mir-448,Leukemia,0.3866
hsa-mir-525,Leukemia,0.3865
hsa-mir-526b,Leukemia,0.3827
hsa-mir-639,Leukemia,0.3807
hsa-mir-513a-1,Leukemia,0.3791
hsa-mir-488,Leukemia,0.3751
hsa-mir-513a-2,Leukemia,0.3733
hsa-mir-203a,Leukemia,0.3724
hsa-mir-576,Leukemia,0.3712
hsa-mir-302f,Leukemia,0.3706
hsa-mir-642a,Leukemia,0.3702
hsa-mir-1908,Leukemia,0.3673
hsa-mir-550a-2,Leukemia,0.3643
hsa-mir-661,Leukemia,0.3641
hsa-mir-520g,Leukemia,0.3617
hsa-mir-545,Leukemia,0.3614
hsa-mir-519c,Leukemia,0.3602
hsa-mir-298,Leukemia,0.3584
hsa-mir-519e,Leukemia,0.3566
hsa-mir-612,Leukemia,0.3557
hsa-mir-518b,Leukemia,0.3556
hsa-mir-1236,Leukemia,0.3554
hsa-mir-103b-1,Leukemia,0.3548
hsa-mir-595,Leukemia,0.3537
hsa-mir-758,Leukemia,0.3518
hsa-mir-718,Leukemia,0.3487
hsa-mir-646,Leukemia,0.3486
hsa-mir-655,Leukemia,0.3472
hsa-mir-1258,Leukemia,0.3471
hsa-mir-147a,Leukemia,0.3452
hsa-mir-103b-2,Leukemia,0.3425
hsa-mir-376a-1,Leukemia,0.3424
hsa-mir-512-2,Leukemia,0.342
hsa-mir-376a-2,Leukemia,0.3407
hsa-mir-1303,Leukemia,0.3356
hsa-mir-1291,Leukemia,0.3346
hsa-mir-572,Leukemia,0.3305
hsa-mir-492,Leukemia,0.33
hsa-mir-627,Leukemia,0.3295
hsa-mir-616,Leukemia,0.3289
hsa-mir-297,Leukemia,0.3247
hsa-mir-518e,Leukemia,0.3237
hsa-mir-378g,Leukemia,0.3224
hsa-mir-610,Leukemia,0.3223
hsa-mir-524,Leukemia,0.3215
hsa-mir-1307,Leukemia,0.3214
hsa-mir-378d-2,Leukemia,0.3174
hsa-mir-561,Leukemia,0.3139
hsa-mir-520f,Leukemia,0.3122
hsa-mir-302e,Leukemia,0.3113
hsa-mir-944,Leukemia,0.3111
hsa-mir-767,Leukemia,0.3109
hsa-mir-579,Leukemia,0.3107
hsa-mir-550a-1,Leukemia,0.3106
hsa-mir-378b,Leukemia,0.3078
hsa-mir-601,Leukemia,0.307
hsa-mir-663b,Leukemia,0.3056
hsa-mir-605,Leukemia,0.3047
hsa-mir-551b,Leukemia,0.3041
hsa-mir-634,Leukemia,0.3023
hsa-mir-577,Leukemia,0.298
hsa-mir-615,Leukemia,0.2962
hsa-mir-516a-2,Leukemia,0.2911
hsa-mir-522,Leukemia,0.2899
hsa-mir-573,Leukemia,0.2896
hsa-mir-4306,Leukemia,0.2884
hsa-mir-1225,Leukemia,0.288
hsa-mir-888,Leukemia,0.2876
hsa-mir-654,Leukemia,0.2874
hsa-mir-516a-1,Leukemia,0.2834
hsa-mir-378f,Leukemia,0.2827
hsa-mir-1227,Leukemia,0.2807
hsa-mir-1287,Leukemia,0.2797
hsa-mir-3189,Leukemia,0.2797
hsa-mir-624,Leukemia,0.2782
hsa-mir-1179,Leukemia,0.2755
hsa-mir-513b,Leukemia,0.2747
hsa-mir-3613,Leukemia,0.2731
hsa-mir-877,Leukemia,0.2706
hsa-mir-380,Leukemia,0.2702
hsa-mir-552,Leukemia,0.27
hsa-mir-603,Leukemia,0.2699
hsa-mir-557,Leukemia,0.2692
hsa-mir-378e,Leukemia,0.2677
hsa-mir-761,Leukemia,0.2676
hsa-mir-4739,Leukemia,0.2666
hsa-mir-1301,Leukemia,0.2641
hsa-mir-1231,Leukemia,0.2632
hsa-mir-1248,Leukemia,0.2628
hsa-mir-378h,Leukemia,0.2618
hsa-mir-589,Leukemia,0.2609
hsa-mir-548c,Leukemia,0.2607
hsa-mir-618,Leukemia,0.2591
hsa-mir-320c-2,Leukemia,0.2578
hsa-mir-4732,Leukemia,0.2577
hsa-mir-3178,Leukemia,0.2563
hsa-mir-519b,Leukemia,0.2552
hsa-mir-323b,Leukemia,0.255
hsa-mir-515-1,Leukemia,0.2542
hsa-mir-516b-1,Leukemia,0.2542
hsa-mir-647,Leukemia,0.2511
hsa-mir-1281,Leukemia,0.2481
hsa-mir-1260b,Leukemia,0.246
hsa-mir-2861,Leukemia,0.2457
hsa-mir-1181,Leukemia,0.2439
hsa-mir-2110,Leukemia,0.2429
hsa-mir-1269a,Leukemia,0.2411
hsa-mir-598,Leukemia,0.2411
hsa-mir-564,Leukemia,0.2407
hsa-mir-4286,Leukemia,0.2401
hsa-mir-515-2,Leukemia,0.2394
hsa-mir-1296,Leukemia,0.238
hsa-mir-1915,Leukemia,0.2377
hsa-mir-1825,Leukemia,0.2377
hsa-mir-507,Leukemia,0.236
hsa-mir-325,Leukemia,0.2359
hsa-mir-1260a,Leukemia,0.2357
hsa-mir-378c,Leukemia,0.2339
hsa-mir-376b,Leukemia,0.2332
hsa-mir-466,Leukemia,0.232
hsa-mir-203b,Leukemia,0.2317
hsa-mir-320b-1,Leukemia,0.2308
hsa-mir-5100,Leukemia,0.2294
hsa-mir-4728,Leukemia,0.2288
hsa-mir-523,Leukemia,0.2286
hsa-mir-1973,Leukemia,0.2268
hsa-mir-657,Leukemia,0.2266
hsa-mir-378d-1,Leukemia,0.2253
hsa-mir-320b-2,Leukemia,0.2252
hsa-mir-4695,Leukemia,0.2252
hsa-mir-320e,Leukemia,0.2236
hsa-mir-499b,Leukemia,0.2234
hsa-mir-509-3,Leukemia,0.2234
hsa-mir-1226,Leukemia,0.2215
hsa-mir-4262,Leukemia,0.2213
hsa-mir-4521,Leukemia,0.2213
hsa-mir-371b,Leukemia,0.2212
hsa-mir-496,Leukemia,0.2197
hsa-mir-516b-2,Leukemia,0.2187
hsa-mir-1180,Leukemia,0.2185
hsa-mir-597,Leukemia,0.2183
hsa-mir-3960,Leukemia,0.218
hsa-mir-1266,Leukemia,0.2153
hsa-mir-4317,Leukemia,0.215
hsa-mir-599,Leukemia,0.2148
hsa-mir-571,Leukemia,0.2147
hsa-mir-769,Leukemia,0.2143
hsa-mir-645,Leukemia,0.2141
hsa-mir-4644,Leukemia,0.2141
hsa-mir-1234,Leukemia,0.214
hsa-mir-512-1,Leukemia,0.2138
hsa-mir-320c-1,Leukemia,0.2132
hsa-mir-632,Leukemia,0.2114
hsa-mir-518c,Leukemia,0.2114
hsa-mir-593,Leukemia,0.2105
hsa-mir-602,Leukemia,0.2093
hsa-mir-514a-3,Leukemia,0.208
hsa-mir-548d-2,Leukemia,0.2079
hsa-mir-4319,Leukemia,0.2074
hsa-mir-451b,Leukemia,0.2071
hsa-mir-802,Leukemia,0.207
hsa-mir-935,Leukemia,0.2069
hsa-mir-635,Leukemia,0.2066
hsa-mir-4466,Leukemia,0.2057
hsa-mir-1265,Leukemia,0.2052
hsa-mir-567,Leukemia,0.205
hsa-mir-1298,Leukemia,0.2048
hsa-mir-517c,Leukemia,0.2048
hsa-mir-544b,Leukemia,0.2041
hsa-mir-527,Leukemia,0.2039
hsa-mir-3200,Leukemia,0.2038
hsa-mir-514a-2,Leukemia,0.2035
hsa-mir-640,Leukemia,0.203
hsa-mir-1202,Leukemia,0.2024
hsa-mir-509-2,Leukemia,0.2014
hsa-mir-3127,Leukemia,0.2014
hsa-mir-659,Leukemia,0.2013
hsa-mir-1292,Leukemia,0.1987
hsa-mir-658,Leukemia,0.1979
hsa-mir-1827,Leukemia,0.1975
hsa-mir-544a,Leukemia,0.1973
hsa-mir-591,Leukemia,0.1972
hsa-mir-23c,Leukemia,0.1972
hsa-mir-3162,Leukemia,0.1966
hsa-mir-1249,Leukemia,0.1962
hsa-mir-514a-1,Leukemia,0.1946
hsa-mir-662,Leukemia,0.1943
hsa-mir-578,Leukemia,0.1939
hsa-mir-648,Leukemia,0.1936
hsa-mir-514b,Leukemia,0.1935
hsa-mir-604,Leukemia,0.1933
hsa-mir-519a-1,Leukemia,0.1932
hsa-mir-3619,Leukemia,0.1924
hsa-mir-4487,Leukemia,0.1908
hsa-mir-922,Leukemia,0.1904
hsa-mir-3666,Leukemia,0.1897
hsa-mir-1268a,Leukemia,0.1883
hsa-mir-1182,Leukemia,0.1855
hsa-mir-450b,Leukemia,0.1848
hsa-mir-1288,Leukemia,0.1846
hsa-mir-668,Leukemia,0.1842
hsa-mir-943,Leukemia,0.1836
hsa-mir-581,Leukemia,0.1835
hsa-mir-558,Leukemia,0.1833
hsa-mir-1471,Leukemia,0.1832
hsa-mir-600,Leukemia,0.1831
hsa-mir-450a-1,Leukemia,0.1823
hsa-mir-320d-1,Leukemia,0.1818
hsa-mir-3171,Leukemia,0.1816
hsa-mir-4270,Leukemia,0.1815
hsa-mir-450a-2,Leukemia,0.1805
hsa-mir-3149,Leukemia,0.1798
hsa-mir-4449,Leukemia,0.1794
hsa-mir-876,Leukemia,0.1785
hsa-mir-3622b,Leukemia,0.1785
hsa-mir-550a-3,Leukemia,0.1777
hsa-mir-4706,Leukemia,0.1761
hsa-mir-1299,Leukemia,0.1758
hsa-mir-4447,Leukemia,0.1754
hsa-mir-1267,Leukemia,0.1748
hsa-mir-4782,Leukemia,0.1748
hsa-mir-551a,Leukemia,0.1748
hsa-mir-892a,Leukemia,0.1744
hsa-mir-1238,Leukemia,0.1742
hsa-mir-4697,Leukemia,0.1742
hsa-mir-1268b,Leukemia,0.1737
hsa-mir-5582,Leukemia,0.1737
hsa-mir-509-1,Leukemia,0.1734
hsa-mir-621,Leukemia,0.1726
hsa-mir-548d-1,Leukemia,0.172
hsa-mir-2909,Leukemia,0.1711
hsa-mir-4455,Leukemia,0.17
hsa-mir-3196,Leukemia,0.17
hsa-mir-889,Leukemia,0.169
hsa-mir-329-1,Leukemia,0.1688
hsa-mir-541,Leukemia,0.1688
hsa-mir-4443,Leukemia,0.1684
hsa-mir-3908,Leukemia,0.1683
hsa-mir-1264,Leukemia,0.1683
hsa-mir-6852,Leukemia,0.1683
hsa-mir-644a,Leukemia,0.1682
hsa-mir-3658,Leukemia,0.1681
hsa-mir-1185-1,Leukemia,0.168
hsa-mir-1914,Leukemia,0.1678
hsa-mir-656,Leukemia,0.1672
hsa-mir-3126,Leukemia,0.1672
hsa-mir-631,Leukemia,0.1671
hsa-mir-3144,Leukemia,0.167
hsa-mir-651,Leukemia,0.1666
hsa-mir-892b,Leukemia,0.1661
hsa-mir-6869,Leukemia,0.1656
hsa-mir-3148,Leukemia,0.165
hsa-mir-933,Leukemia,0.165
hsa-mir-6867,Leukemia,0.165
hsa-mir-1256,Leukemia,0.1649
hsa-mir-937,Leukemia,0.1646
hsa-mir-4302,Leukemia,0.1645
hsa-mir-1538,Leukemia,0.1643
hsa-mir-1286,Leukemia,0.1639
hsa-mir-4284,Leukemia,0.1636
hsa-mir-4282,Leukemia,0.1635
hsa-mir-7847,Leukemia,0.1631
hsa-mir-329-2,Leukemia,0.163
hsa-mir-518d,Leukemia,0.163
hsa-mir-556,Leukemia,0.1623
hsa-mir-670,Leukemia,0.1617
hsa-mir-5193,Leukemia,0.1611
hsa-mir-412,Leukemia,0.1609
hsa-mir-1233-2,Leukemia,0.1609
hsa-mir-3175,Leukemia,0.1603
hsa-mir-586,Leukemia,0.1602
hsa-mir-1229,Leukemia,0.1602
hsa-mir-620,Leukemia,0.1599
hsa-mir-3915,Leukemia,0.1599
hsa-mir-4764,Leukemia,0.1599
hsa-mir-1469,Leukemia,0.1581
hsa-mir-585,Leukemia,0.1576
hsa-mir-449c,Leukemia,0.1575
hsa-mir-4634,Leukemia,0.1571
hsa-mir-770,Leukemia,0.157
hsa-mir-1282,Leukemia,0.157
hsa-mir-4731,Leukemia,0.1565
hsa-mir-105-1,Leukemia,0.1563
hsa-mir-1468,Leukemia,0.156
hsa-mir-548l,Leukemia,0.1557
hsa-mir-1233-1,Leukemia,0.1556
hsa-mir-4454,Leukemia,0.1554
hsa-mir-3131,Leukemia,0.1546
hsa-mir-518a-2,Leukemia,0.1543
hsa-mir-487a,Leukemia,0.1542
hsa-mir-5003,Leukemia,0.1541
hsa-mir-1306,Leukemia,0.1538
hsa-mir-3646,Leukemia,0.1537
hsa-mir-641,Leukemia,0.1524
hsa-mir-1245b,Leukemia,0.152
hsa-mir-4469,Leukemia,0.1517
hsa-mir-6729,Leukemia,0.1517
hsa-mir-2682,Leukemia,0.1517
hsa-mir-1343,Leukemia,0.1512
hsa-mir-2355,Leukemia,0.1511
hsa-mir-519a-2,Leukemia,0.1498
hsa-mir-762,Leukemia,0.1495
hsa-mir-1285-1,Leukemia,0.1487
hsa-mir-4423,Leukemia,0.1487
hsa-mir-6875,Leukemia,0.1484
hsa-mir-1245a,Leukemia,0.1484
hsa-mir-4736,Leukemia,0.148
hsa-mir-6861,Leukemia,0.1476
hsa-mir-4505,Leukemia,0.1471
hsa-mir-4723,Leukemia,0.1468
hsa-mir-1295b,Leukemia,0.1465
hsa-mir-4258,Leukemia,0.1464
hsa-mir-921,Leukemia,0.1461
hsa-mir-4295,Leukemia,0.1453
hsa-mir-4775,Leukemia,0.1452
hsa-mir-711,Leukemia,0.145
hsa-mir-4324,Leukemia,0.1447
hsa-mir-3667,Leukemia,0.1447
hsa-mir-920,Leukemia,0.1435
hsa-mir-3130-2,Leukemia,0.1434
hsa-mir-6126,Leukemia,0.143
hsa-mir-4281,Leukemia,0.1427
hsa-mir-4530,Leukemia,0.1423
hsa-mir-548an,Leukemia,0.1421
hsa-mir-4257,Leukemia,0.142
hsa-mir-4496,Leukemia,0.1419
hsa-mir-7107,Leukemia,0.1419
hsa-mir-548t,Leukemia,0.1418
hsa-mir-642b,Leukemia,0.1416
hsa-mir-518a-1,Leukemia,0.1415
hsa-mir-1322,Leukemia,0.1413
hsa-mir-3614,Leukemia,0.141
hsa-mir-3677,Leukemia,0.1404
hsa-mir-105-2,Leukemia,0.1397
hsa-mir-3065,Leukemia,0.1397
hsa-mir-4746,Leukemia,0.1389
hsa-mir-583,Leukemia,0.1389
hsa-mir-3182,Leukemia,0.1389
hsa-mir-6831,Leukemia,0.1388
hsa-mir-3074,Leukemia,0.1386
hsa-mir-1304,Leukemia,0.1384
hsa-mir-4293,Leukemia,0.1382
hsa-mir-569,Leukemia,0.1376
