circRNA,disease,preScore
hsa_circ_0001387,Lung adenocarcinoma,0.4843
circ_0034642,Lung adenocarcinoma,0.484
hsa_circ_0017515,Lung adenocarcinoma,0.484
hsa_circ_0049487,Lung adenocarcinoma,0.4839
hsa_circ_0006220,Lung adenocarcinoma,0.4839
hsa_circ_0041124,Lung adenocarcinoma,0.4838
hsa_circ_0122319,Lung adenocarcinoma,0.4838
circ_0039151,Lung adenocarcinoma,0.4837
hsa_circ_0027599,Lung adenocarcinoma,0.4837
hsa_circ_0089231,Lung adenocarcinoma,0.4832
hsa_circ_0001772,Lung adenocarcinoma,0.4832
hsa_circ_0036877,Lung adenocarcinoma,0.483
hsa_circ_0049027,Lung adenocarcinoma,0.4829
hsa_circ_0010220,Lung adenocarcinoma,0.4827
circ_0001658,Lung adenocarcinoma,0.4826
hsa_circ_0027089,Lung adenocarcinoma,0.4824
hsa_circ_0049658,Lung adenocarcinoma,0.4823
hsa_circ_0002570,Lung adenocarcinoma,0.4822
hsa_circ_0089552,Lung adenocarcinoma,0.4821
hsa_circ_0001438,Lung adenocarcinoma,0.482
hsa_circ_0000396,Lung adenocarcinoma,0.482
hsa_circ_0051443,Lung adenocarcinoma,0.482
hsa_circ_0008898,Lung adenocarcinoma,0.482
hsa_circ_0007915,Lung adenocarcinoma,0.4818
hsa_circ_0001785,Lung adenocarcinoma,0.4817
hsa_circ_0001009,Lung adenocarcinoma,0.4817
circ_0000950,Lung adenocarcinoma,0.4816
hsa_circ_0088088,Lung adenocarcinoma,0.4816
hsa_circ_0020707,Lung adenocarcinoma,0.4815
hsa_circ_0088196,Lung adenocarcinoma,0.4814
hsa_circ_0003340,Lung adenocarcinoma,0.4813
hsa_circ_0068367,Lung adenocarcinoma,0.4812
hsa_circ_0006282,Lung adenocarcinoma,0.4811
hsa_circ_0006948,Lung adenocarcinoma,0.4811
hsa_circ_0024097,Lung adenocarcinoma,0.481
hsa_circ_0000426,Lung adenocarcinoma,0.4809
hsa_circ_0000516,Lung adenocarcinoma,0.4809
hsa_circ_0018764,Lung adenocarcinoma,0.4807
hsa_circ_0023903,Lung adenocarcinoma,0.4806
hsa_circ_0101868,Lung adenocarcinoma,0.4806
hsa_circ_0087960,Lung adenocarcinoma,0.4805
circ_0000043,Lung adenocarcinoma,0.4804
circ_0004136,Lung adenocarcinoma,0.4804
hsa_circ_0131457,Lung adenocarcinoma,0.4804
hsa_circ_0000317,Lung adenocarcinoma,0.4803
hsa_circ_0005836,Lung adenocarcinoma,0.4802
hsa_circ_0084663,Lung adenocarcinoma,0.4802
hsa_circ_0000142,Lung adenocarcinoma,0.4801
circ_0115744,Lung adenocarcinoma,0.48
hsa_circ_0004812,Lung adenocarcinoma,0.4799
hsa_circ_0011460,Lung adenocarcinoma,0.4799
hsa_circ_0010882,Lung adenocarcinoma,0.4799
hsa_circ_000334,Lung adenocarcinoma,0.4798
hsa_circ_0061259,Lung adenocarcinoma,0.4798
hsa_circ_0015326,Lung adenocarcinoma,0.4798
hsa_circ_0036878,Lung adenocarcinoma,0.4797
hsa_circ_0050898,Lung adenocarcinoma,0.4795
hsa_circ_0040039,Lung adenocarcinoma,0.4794
hsa_circ_0043534,Lung adenocarcinoma,0.4794
hsa_circ_0008975,Lung adenocarcinoma,0.4793
hsa_circ_0007535,Lung adenocarcinoma,0.4792
hsa_circ_009755,Lung adenocarcinoma,0.4791
hsa_circ_0100587,Lung adenocarcinoma,0.4791
hsa_circ_0109291,Lung adenocarcinoma,0.4791
hsa_circ_0009143,Lung adenocarcinoma,0.4791
hsa_circ_0054971,Lung adenocarcinoma,0.4789
hsa_circ_0058230,Lung adenocarcinoma,0.4789
hsa_circ_0025508,Lung adenocarcinoma,0.4789
hsa_circ_0001085,Lung adenocarcinoma,0.4788
hsa_circ_0003731,Lung adenocarcinoma,0.4788
hsa_circ_0000073,Lung adenocarcinoma,0.4787
hsa_circ_0023990,Lung adenocarcinoma,0.4787
circ_0008274,Lung adenocarcinoma,0.4786
hsa_circ_0001546,Lung adenocarcinoma,0.4786
hsa_circ_0000495,Lung adenocarcinoma,0.4783
hsa_circ_0055538,Lung adenocarcinoma,0.4783
hsa_circ_0032253,Lung adenocarcinoma,0.4783
hsa_circ_001242,Lung adenocarcinoma,0.4783
hsa_circ_0043800,Lung adenocarcinoma,0.4782
hsa_circ_0023956,Lung adenocarcinoma,0.4782
hsa_circ_0000714,Lung adenocarcinoma,0.4781
hsa_circ_0082846,Lung adenocarcinoma,0.478
hsa_circ_0001361,Lung adenocarcinoma,0.4776
hsa_circ_0024002,Lung adenocarcinoma,0.4774
hsa_circ_0130438,Lung adenocarcinoma,0.4774
hsa_circ_0062163,Lung adenocarcinoma,0.4774
hsa_circ_0011058,Lung adenocarcinoma,0.4773
hsa_circ_0007609,Lung adenocarcinoma,0.4772
hsa_circ_0000181,Lung adenocarcinoma,0.4771
hsa_circ_0061825,Lung adenocarcinoma,0.4771
hsa_circ_0070269,Lung adenocarcinoma,0.4771
circ_0046701,Lung adenocarcinoma,0.4771
hsa_circ_0017526,Lung adenocarcinoma,0.477
hsa_circ_0061052,Lung adenocarcinoma,0.477
hsa_circ_0127245,Lung adenocarcinoma,0.4768
hsa_circ_0002801,Lung adenocarcinoma,0.4768
hsa_circ_0092246,Lung adenocarcinoma,0.4767
hsa_circ_0031258,Lung adenocarcinoma,0.4766
circ_0000285,Lung adenocarcinoma,0.4764
hsa_circ_0032832,Lung adenocarcinoma,0.4762
hsa_circ_0062960,Lung adenocarcinoma,0.4758
hsa_circ_0000320,Lung adenocarcinoma,0.4758
hsa_circ_0106800,Lung adenocarcinoma,0.4757
hsa_circ_0048232,Lung adenocarcinoma,0.4756
hsa_circ_0002185,Lung adenocarcinoma,0.4755
hsa_circ_0026372,Lung adenocarcinoma,0.4753
hsa_circ_0139897,Lung adenocarcinoma,0.4753
hsa_circ_0001900,Lung adenocarcinoma,0.4753
hsa_circ_0000885,Lung adenocarcinoma,0.4752
hsa_circ_0001561,Lung adenocarcinoma,0.4752
hsa_circ_0068458,Lung adenocarcinoma,0.4752
hsa_circ_0007694,Lung adenocarcinoma,0.4751
hsa_circ_0081000,Lung adenocarcinoma,0.475
hsa_circ_0002874,Lung adenocarcinoma,0.4749
hsa_circ_0100929,Lung adenocarcinoma,0.4747
hsa_circ_0006847,Lung adenocarcinoma,0.4746
hsa_circ_0071036,Lung adenocarcinoma,0.4746
hsa_circ_0008615,Lung adenocarcinoma,0.4745
hsa_circ_0005986,Lung adenocarcinoma,0.4745
hsa_circ_0012077,Lung adenocarcinoma,0.4744
hsa_circ_0004840,Lung adenocarcinoma,0.4744
hsa_circ_0002019,Lung adenocarcinoma,0.4744
circ_0020710,Lung adenocarcinoma,0.4742
hsa_circ_0008225,Lung adenocarcinoma,0.4741
hsa_circ_0000737,Lung adenocarcinoma,0.4741
hsa_circ_0072567,Lung adenocarcinoma,0.4739
hsa_circ_0068489,Lung adenocarcinoma,0.4739
hsa_circ_0043145,Lung adenocarcinoma,0.4738
hsa_circ_0048301,Lung adenocarcinoma,0.4738
hsa_circ_0022935,Lung adenocarcinoma,0.4737
hsa_circ_0005406,Lung adenocarcinoma,0.4737
hsa_circ_0020594,Lung adenocarcinoma,0.4736
hsa_circ_0024892,Lung adenocarcinoma,0.4735
hsa_circ_0009581,Lung adenocarcinoma,0.4735
hsa_circ_0004491,Lung adenocarcinoma,0.4735
hsa_circ_0001386,Lung adenocarcinoma,0.4735
hsa_circ_0006401,Lung adenocarcinoma,0.4733
circ_0051398,Lung adenocarcinoma,0.473
hsa_circ_0008305,Lung adenocarcinoma,0.473
hsa_circ_0139996,Lung adenocarcinoma,0.473
hsa_circ_0015310,Lung adenocarcinoma,0.4728
hsa_circ_0000471,Lung adenocarcinoma,0.4727
hsa_circ_0008514,Lung adenocarcinoma,0.4726
hsa_circ_0068610,Lung adenocarcinoma,0.4725
hsa_circ_0002980,Lung adenocarcinoma,0.4721
hsa_circ_0076690,Lung adenocarcinoma,0.4719
hsa_circ_0046701,Lung adenocarcinoma,0.4717
hsa_circ_0001312,Lung adenocarcinoma,0.4717
hsa_circ_0014635,Lung adenocarcinoma,0.4716
hsa_circ_0008737,Lung adenocarcinoma,0.4716
hsa_circ_0040103,Lung adenocarcinoma,0.4716
circ_0084927,Lung adenocarcinoma,0.4714
hsa_circ_0001836,Lung adenocarcinoma,0.4714
hsa_circ_0023028,Lung adenocarcinoma,0.4713
hsa_circ_0006461,Lung adenocarcinoma,0.4712
hsa_circ_0043949,Lung adenocarcinoma,0.4712
circ_0001836,Lung adenocarcinoma,0.4712
hsa_circ_0000006,Lung adenocarcinoma,0.471
circ_0001971,Lung adenocarcinoma,0.471
hsa_circ_0058830,Lung adenocarcinoma,0.4707
hsa_circ_0030632,Lung adenocarcinoma,0.4707
hsa_circ_0003524,Lung adenocarcinoma,0.4706
hsa_circ_0138896,Lung adenocarcinoma,0.4704
hsa_circ_001436,Lung adenocarcinoma,0.4704
circ_0032833,Lung adenocarcinoma,0.4704
hsa_circ_0075699,Lung adenocarcinoma,0.4704
circ_0072083,Lung adenocarcinoma,0.4704
hsa_circ_0005556,Lung adenocarcinoma,0.4703
hsa_circ_0001742,Lung adenocarcinoma,0.4703
hsa_circ_0064428,Lung adenocarcinoma,0.4701
hsa_circ_0051172,Lung adenocarcinoma,0.4698
circ_0021789,Lung adenocarcinoma,0.4697
hsa_circ_0005105,Lung adenocarcinoma,0.4697
hsa_circ_0058246,Lung adenocarcinoma,0.4697
hsa_circ_0032683,Lung adenocarcinoma,0.4697
hsa_circ_0030777,Lung adenocarcinoma,0.4696
hsa_circ_0063809,Lung adenocarcinoma,0.4693
hsa_circ_0002632,Lung adenocarcinoma,0.4692
circ_0072088,Lung adenocarcinoma,0.4689
circ_0000467,Lung adenocarcinoma,0.4686
circ_0071589,Lung adenocarcinoma,0.4685
hsa_circ_0088364,Lung adenocarcinoma,0.4685
hsa_circ_0077179,Lung adenocarcinoma,0.4685
hsa_circ_0005654,Lung adenocarcinoma,0.4684
hsa_circ_0057093,Lung adenocarcinoma,0.4683
hsa_circ_0005100,Lung adenocarcinoma,0.4683
hsa_circ_0081047,Lung adenocarcinoma,0.4682
hsa_circ_0005360,Lung adenocarcinoma,0.4681
circ_0000511,Lung adenocarcinoma,0.4679
hsa_circ_0010283,Lung adenocarcinoma,0.4679
hsa_circ_0008345,Lung adenocarcinoma,0.4678
hsa_circ_0087064,Lung adenocarcinoma,0.4678
hsa_circ_0039943,Lung adenocarcinoma,0.4677
hsa_circ_0074027,Lung adenocarcinoma,0.4676
hsa_circ_0100213,Lung adenocarcinoma,0.4676
hsa_circ_0136959,Lung adenocarcinoma,0.4675
hsa_circ_0002142,Lung adenocarcinoma,0.4674
hsa_circ_0085019,Lung adenocarcinoma,0.4674
hsa_circ_0000092,Lung adenocarcinoma,0.4672
hsa_circ_0029696,Lung adenocarcinoma,0.4672
hsa_circ_0058147,Lung adenocarcinoma,0.4671
hsa_circ_0001971,Lung adenocarcinoma,0.4669
hsa_circ_0110251,Lung adenocarcinoma,0.4669
hsa_circ_0028883,Lung adenocarcinoma,0.4667
hsa_circ_0021977,Lung adenocarcinoma,0.4667
hsa_circ_0004712,Lung adenocarcinoma,0.4665
hsa_circ_0043533,Lung adenocarcinoma,0.4664
hsa_circ_0108942,Lung adenocarcinoma,0.4664
hsa_circ_0004058,Lung adenocarcinoma,0.4663
circ_0001730,Lung adenocarcinoma,0.4663
hsa_circ_0001568,Lung adenocarcinoma,0.4662
hsa_circ_0067735,Lung adenocarcinoma,0.4659
hsa_circ_0004458,Lung adenocarcinoma,0.4656
hsa_circ_0007006,Lung adenocarcinoma,0.4655
hsa_circ_0000651,Lung adenocarcinoma,0.4655
hsa_circ_0074362,Lung adenocarcinoma,0.4655
hsa_circ_0012673,Lung adenocarcinoma,0.4654
hsa_circ_0003505,Lung adenocarcinoma,0.4654
hsa_circ_0062270,Lung adenocarcinoma,0.4653
hsa_circ_0104204,Lung adenocarcinoma,0.4653
hsa_circ_0001756,Lung adenocarcinoma,0.4651
hsa_circ_0072215,Lung adenocarcinoma,0.465
hsa_circ_0063179,Lung adenocarcinoma,0.4648
hsa_circ_0000231,Lung adenocarcinoma,0.4648
circ_002671,Lung adenocarcinoma,0.4645
hsa_circ_0004104,Lung adenocarcinoma,0.4642
hsa_circ_0023117,Lung adenocarcinoma,0.4642
hsa_circ_0008297,Lung adenocarcinoma,0.464
hsa_circ_0003456,Lung adenocarcinoma,0.4639
hsa_circ_0002203,Lung adenocarcinoma,0.4638
hsa_circ_0001421,Lung adenocarcinoma,0.4637
hsa_circ_0000775,Lung adenocarcinoma,0.4636
hsa_circ_0001741,Lung adenocarcinoma,0.4636
hsa_circ_0035563,Lung adenocarcinoma,0.4635
hsa_circ_0084021,Lung adenocarcinoma,0.4634
hsa_circ_0074990,Lung adenocarcinoma,0.4633
hsa_circ_0005540,Lung adenocarcinoma,0.4631
hsa_circ_0017068,Lung adenocarcinoma,0.463
hsa_circ_0000117,Lung adenocarcinoma,0.4629
hsa_circ_0006459,Lung adenocarcinoma,0.4627
hsa_circ_0001001,Lung adenocarcinoma,0.4627
hsa_circ_0038648,Lung adenocarcinoma,0.4627
hsa_circ_0001206,Lung adenocarcinoma,0.4625
hsa_circ_0003893,Lung adenocarcinoma,0.4625
hsa_circ_0006332,Lung adenocarcinoma,0.4624
hsa_circ_0053277,Lung adenocarcinoma,0.4623
hsa_circ_0025202,Lung adenocarcinoma,0.4623
hsa_circ_0039411,Lung adenocarcinoma,0.4619
hsa_circ_0000079,Lung adenocarcinoma,0.4618
hsa_circ_0049224,Lung adenocarcinoma,0.4617
hsa_circ_0102722,Lung adenocarcinoma,0.4617
hsa_circ_0006294,Lung adenocarcinoma,0.4616
hsa_circ_0001626,Lung adenocarcinoma,0.4616
hsa_circ_0000893,Lung adenocarcinoma,0.4614
circ_0053772,Lung adenocarcinoma,0.4612
hsa_circ_0069234,Lung adenocarcinoma,0.4611
hsa_circ_0001190,Lung adenocarcinoma,0.461
hsa_circ_0056048,Lung adenocarcinoma,0.4609
hsa_circ_0030045,Lung adenocarcinoma,0.4606
hsa_circ_0020397,Lung adenocarcinoma,0.4606
hsa_circ_0091894,Lung adenocarcinoma,0.4604
hsa_circ_0092125,Lung adenocarcinoma,0.4603
hsa_circ_0034472,Lung adenocarcinoma,0.4602
hsa_circ_0011021,Lung adenocarcinoma,0.46
hsa_circ_0127621,Lung adenocarcinoma,0.4599
hsa_circ_0003838,Lung adenocarcinoma,0.4598
hsa_circ_0137287,Lung adenocarcinoma,0.4597
hsa_circ_0030998,Lung adenocarcinoma,0.4597
hsa_circ_0099999,Lung adenocarcinoma,0.4595
circ_0007142,Lung adenocarcinoma,0.4595
hsa_circ_0001189,Lung adenocarcinoma,0.4595
hsa_circ_0008365,Lung adenocarcinoma,0.4592
hsa_circ_0082374,Lung adenocarcinoma,0.4592
hsa_circ_0000263,Lung adenocarcinoma,0.4586
hsa_circ_0001667,Lung adenocarcinoma,0.4585
hsa_circ_0087653,Lung adenocarcinoma,0.4584
hsa_circ_0101432,Lung adenocarcinoma,0.4584
hsa_circ_0078607,Lung adenocarcinoma,0.458
hsa_circ_0006323,Lung adenocarcinoma,0.4579
hsa_circ_0081162,Lung adenocarcinoma,0.4579
hsa_circ_0002078,Lung adenocarcinoma,0.4577
hsa_circ_0018508,Lung adenocarcinoma,0.4577
hsa_circ_0002484,Lung adenocarcinoma,0.4576
hsa_circ_0006404,Lung adenocarcinoma,0.4576
hsa_circ_0082582,Lung adenocarcinoma,0.4576
hsa_circ_0046264,Lung adenocarcinoma,0.4574
hsa_circ_0103232,Lung adenocarcinoma,0.4573
hsa_circ_0092303,Lung adenocarcinoma,0.457
hsa_circ_0014235,Lung adenocarcinoma,0.4568
hsa_circ_0043813,Lung adenocarcinoma,0.4567
hsa_circ_0038374,Lung adenocarcinoma,0.4567
hsa_circ_0032891,Lung adenocarcinoma,0.4567
hsa_circ_0005777,Lung adenocarcinoma,0.4567
circ_0001649,Lung adenocarcinoma,0.4566
hsa_circ_0000825,Lung adenocarcinoma,0.4566
hsa_circ_0000620,Lung adenocarcinoma,0.4565
hsa_circ_0045510,Lung adenocarcinoma,0.4564
hsa_circ_0006848,Lung adenocarcinoma,0.4564
hsa_circ_0002532,Lung adenocarcinoma,0.4564
hsa_circ_0032970,Lung adenocarcinoma,0.4562
hsa_circ_0128533,Lung adenocarcinoma,0.4561
hsa_circ_0000221,Lung adenocarcinoma,0.4559
hsa_circ_0067745,Lung adenocarcinoma,0.4559
hsa_circ_0001681,Lung adenocarcinoma,0.4558
hsa_circ_0056288,Lung adenocarcinoma,0.4557
hsa_circ_0034912,Lung adenocarcinoma,0.4557
hsa_circ_0033074,Lung adenocarcinoma,0.4556
hsa_circ_0032704,Lung adenocarcinoma,0.4556
hsa_circ_0066922,Lung adenocarcinoma,0.4554
hsa_circ_0046599,Lung adenocarcinoma,0.4554
hsa_circ_0066659,Lung adenocarcinoma,0.4554
hsa_circ_0000384,Lung adenocarcinoma,0.4551
circ_0071662,Lung adenocarcinoma,0.455
hsa_circ_0081342,Lung adenocarcinoma,0.455
hsa_circ_0008797,Lung adenocarcinoma,0.4549
hsa_circ_0002453,Lung adenocarcinoma,0.4549
hsa_circ_0083357,Lung adenocarcinoma,0.4549
hsa_circ_0054211,Lung adenocarcinoma,0.4548
hsa_circ_0092516,Lung adenocarcinoma,0.4548
hsa_circ_0026579,Lung adenocarcinoma,0.4546
hsa_circ_0000740,Lung adenocarcinoma,0.4546
circ_0002770,Lung adenocarcinoma,0.4545
hsa_circ_0112085,Lung adenocarcinoma,0.4544
circ_0049663,Lung adenocarcinoma,0.4543
hsa_circ_0092276,Lung adenocarcinoma,0.4543
circ_0006461,Lung adenocarcinoma,0.4542
circ_0007444,Lung adenocarcinoma,0.454
hsa_circ_0085533,Lung adenocarcinoma,0.454
hsa_circ_0062982,Lung adenocarcinoma,0.4539
hsa_circ_0068871,Lung adenocarcinoma,0.4538
hsa_circ_0075005,Lung adenocarcinoma,0.4537
hsa_circ_0006127,Lung adenocarcinoma,0.4537
hsa_circ_0054633,Lung adenocarcinoma,0.4537
hsa_circ_0045714,Lung adenocarcinoma,0.4537
circ_0000388,Lung adenocarcinoma,0.4534
hsa_circ_0001874,Lung adenocarcinoma,0.4534
hsa_circ_0001839,Lung adenocarcinoma,0.4533
hsa_circ_0047924,Lung adenocarcinoma,0.453
hsa_circ_0005320,Lung adenocarcinoma,0.453
hsa_circ_0001727,Lung adenocarcinoma,0.453
hsa_circ_0003418,Lung adenocarcinoma,0.4528
hsa_circ_0027446,Lung adenocarcinoma,0.4527
hsa_circ_0028173,Lung adenocarcinoma,0.4526
hsa_circ_0000118,Lung adenocarcinoma,0.4526
hsa_circ_0137439,Lung adenocarcinoma,0.4524
hsa_circ_0008934,Lung adenocarcinoma,0.4523
hsa_circ_0070382,Lung adenocarcinoma,0.4522
hsa_circ_0067997,Lung adenocarcinoma,0.4521
hsa_circ_0001204,Lung adenocarcinoma,0.4515
hsa_circ_0019340,Lung adenocarcinoma,0.4515
circ_0037655,Lung adenocarcinoma,0.4515
hsa_circ_0007701,Lung adenocarcinoma,0.4512
hsa_circ_0040823,Lung adenocarcinoma,0.4512
hsa_circ_0008532,Lung adenocarcinoma,0.4511
hsa_circ_0001400,Lung adenocarcinoma,0.4509
circ_0081143,Lung adenocarcinoma,0.4508
hsa_circ_0066779,Lung adenocarcinoma,0.4508
hsa_circ_0000254,Lung adenocarcinoma,0.4507
hsa_circ_0003694,Lung adenocarcinoma,0.4506
hsa_circ_0000519,Lung adenocarcinoma,0.4505
hsa_circ_0016760,Lung adenocarcinoma,0.4504
hsa_circ_0073237,Lung adenocarcinoma,0.4504
hsa_circ_0043951,Lung adenocarcinoma,0.4504
hsa_circ_0091017,Lung adenocarcinoma,0.4504
hsa_circ_0012342,Lung adenocarcinoma,0.4504
hsa_circ_0029633,Lung adenocarcinoma,0.4502
hsa_circ_0104852,Lung adenocarcinoma,0.4502
hsa_circ_0056159,Lung adenocarcinoma,0.4499
hsa_circ_0001766,Lung adenocarcinoma,0.4497
hsa_circ_0002402,Lung adenocarcinoma,0.4489
hsa_circ_0079278,Lung adenocarcinoma,0.4487
hsa_circ_0002260,Lung adenocarcinoma,0.4486
hsa_circ_0000370,Lung adenocarcinoma,0.4486
hsa_circ_0007762,Lung adenocarcinoma,0.4484
circ_0000502,Lung adenocarcinoma,0.4484
hsa_circ_0078715,Lung adenocarcinoma,0.4481
hsa_circ_0040805,Lung adenocarcinoma,0.448
hsa_circ_0067582,Lung adenocarcinoma,0.4479
hsa_circ_0046159,Lung adenocarcinoma,0.4478
hsa_circ_0000911,Lung adenocarcinoma,0.4478
hsa_circ_0071542,Lung adenocarcinoma,0.4477
hsa_circ_0017247,Lung adenocarcinoma,0.4477
hsa_circ_0009543,Lung adenocarcinoma,0.4476
hsa_circ_0109320,Lung adenocarcinoma,0.4474
hsa_circ_0085020,Lung adenocarcinoma,0.447
hsa_circ_0015288,Lung adenocarcinoma,0.4469
hsa_circ_0087377,Lung adenocarcinoma,0.4467
hsa_circ_0001103,Lung adenocarcinoma,0.4467
hsa_circ_0002320,Lung adenocarcinoma,0.4466
circ_0008450,Lung adenocarcinoma,0.4464
hsa_circ_0005402,Lung adenocarcinoma,0.4463
hsa_circ_0014010,Lung adenocarcinoma,0.4462
hsa_circ_0036287,Lung adenocarcinoma,0.4459
hsa_circ_0005795,Lung adenocarcinoma,0.4458
hsa_circ_0000260,Lung adenocarcinoma,0.4457
hsa_circ_0000976,Lung adenocarcinoma,0.4456
hsa_circ_0066529,Lung adenocarcinoma,0.4456
hsa_circ_0004887,Lung adenocarcinoma,0.4455
hsa_circ_0037251,Lung adenocarcinoma,0.4455
hsa_circ_0000515,Lung adenocarcinoma,0.4454
hsa_circ_0009128,Lung adenocarcinoma,0.4454
hsa_circ_0001336,Lung adenocarcinoma,0.4452
hsa_circ_0101802,Lung adenocarcinoma,0.445
hsa_circ_001730,Lung adenocarcinoma,0.4449
hsa_circ_0091074,Lung adenocarcinoma,0.4449
hsa_circ_0040705,Lung adenocarcinoma,0.4449
hsa_circ_0132813,Lung adenocarcinoma,0.4443
hsa_circ_0040809,Lung adenocarcinoma,0.4441
hsa_circ_0049116,Lung adenocarcinoma,0.444
hsa_circ_0001380,Lung adenocarcinoma,0.444
hsa_circ_0085013,Lung adenocarcinoma,0.4439
hsa_circ_0043634,Lung adenocarcinoma,0.4437
circ_0019692,Lung adenocarcinoma,0.4436
hsa_circ_0021553,Lung adenocarcinoma,0.4435
hsa_circ_0089172,Lung adenocarcinoma,0.4435
hsa_circ_0006867,Lung adenocarcinoma,0.4432
hsa_circ_0057104,Lung adenocarcinoma,0.4431
circ_0000231,Lung adenocarcinoma,0.4431
hsa_circ_0000075,Lung adenocarcinoma,0.4429
hsa_circ_0059665,Lung adenocarcinoma,0.4427
hsa_circ_0003119,Lung adenocarcinoma,0.4425
hsa_circ_0015756,Lung adenocarcinoma,0.4424
hsa_circ_0035381,Lung adenocarcinoma,0.4423
hsa_circ_0001017,Lung adenocarcinoma,0.4418
hsa_circ_0062389,Lung adenocarcinoma,0.4417
hsa_circ_0123190,Lung adenocarcinoma,0.4416
circ_0000337,Lung adenocarcinoma,0.4415
hsa_circ_0060063,Lung adenocarcinoma,0.4414
hsa_circ_0058106,Lung adenocarcinoma,0.4414
hsa_circ_0096157,Lung adenocarcinoma,0.4413
hsa_circ_0078602,Lung adenocarcinoma,0.4413
hsa_circ_0025129,Lung adenocarcinoma,0.441
circ_0055408,Lung adenocarcinoma,0.4409
hsa_circ_0003575,Lung adenocarcinoma,0.4409
hsa_circ_0023642,Lung adenocarcinoma,0.4408
hsa_circ_0034803,Lung adenocarcinoma,0.4408
hsa_circ_0005963,Lung adenocarcinoma,0.4407
hsa_circ_0085495,Lung adenocarcinoma,0.4406
hsa_circ_0018429,Lung adenocarcinoma,0.4406
hsa_circ_0088227,Lung adenocarcinoma,0.4404
hsa_circ_0007385,Lung adenocarcinoma,0.4401
hsa_circ_0098619,Lung adenocarcinoma,0.4401
hsa_circ_0001022,Lung adenocarcinoma,0.44
hsa_circ_0000034,Lung adenocarcinoma,0.4397
circ_0000034,Lung adenocarcinoma,0.4396
hsa_circ_0038646,Lung adenocarcinoma,0.4394
hsa_circ_0002715,Lung adenocarcinoma,0.4391
hsa_circ_0000732,Lung adenocarcinoma,0.439
hsa_circ_0005317,Lung adenocarcinoma,0.439
hsa_circ_0033155,Lung adenocarcinoma,0.4389
hsa_circ_0001829,Lung adenocarcinoma,0.4388
hsa_circ_0007158,Lung adenocarcinoma,0.4386
hsa_circ_0008928,Lung adenocarcinoma,0.4382
hsa_circ_0001615,Lung adenocarcinoma,0.4382
hsa_circ_0003707,Lung adenocarcinoma,0.4382
hsa_circ_0008460,Lung adenocarcinoma,0.4381
hsa_circ_0044722,Lung adenocarcinoma,0.438
hsa_circ_0005785,Lung adenocarcinoma,0.4378
hsa_circ_0003146,Lung adenocarcinoma,0.4377
hsa_circ_0008360,Lung adenocarcinoma,0.4377
hsa_circ_0033144,Lung adenocarcinoma,0.4376
hsa_circ_0017545,Lung adenocarcinoma,0.4369
hsa_circ_0074930,Lung adenocarcinoma,0.4367
hsa_circ_0087378,Lung adenocarcinoma,0.4366
hsa_circ_0042666,Lung adenocarcinoma,0.4365
hsa_circ_0067209,Lung adenocarcinoma,0.4365
hsa_circ_0005931,Lung adenocarcinoma,0.4364
hsa_circ_0000423,Lung adenocarcinoma,0.4361
hsa_circ_0037751,Lung adenocarcinoma,0.4358
hsa_circ_0061265,Lung adenocarcinoma,0.4355
hsa_circ_0088732,Lung adenocarcinoma,0.4354
hsa_circ_0071820,Lung adenocarcinoma,0.4353
hsa_circ_0012152,Lung adenocarcinoma,0.4352
hsa_circ_0043144,Lung adenocarcinoma,0.4352
hsa_circ_0000372,Lung adenocarcinoma,0.4348
hsa_circ_0005218,Lung adenocarcinoma,0.4348
hsa_circ_0003090,Lung adenocarcinoma,0.4347
hsa_circ_0058766,Lung adenocarcinoma,0.4346
hsa_circ_0023984,Lung adenocarcinoma,0.4346
hsa_circ_0099476,Lung adenocarcinoma,0.4345
hsa_circ_0064840,Lung adenocarcinoma,0.4345
hsa_circ_0127664,Lung adenocarcinoma,0.4344
hsa_circ_0068655,Lung adenocarcinoma,0.4343
hsa_circ_0000745,Lung adenocarcinoma,0.4342
hsa_circ_0007445,Lung adenocarcinoma,0.4341
hsa_circ_0003496,Lung adenocarcinoma,0.434
hsa_circ_0008922,Lung adenocarcinoma,0.434
circ_0076305,Lung adenocarcinoma,0.4339
circ_0091579,Lung adenocarcinoma,0.4339
hsa_circ_0003506,Lung adenocarcinoma,0.4339
hsa_circ_0049613,Lung adenocarcinoma,0.4339
hsa_circ_0000337,Lung adenocarcinoma,0.4338
hsa_circ_0000199,Lung adenocarcinoma,0.4333
hsa_circ_0011269,Lung adenocarcinoma,0.4332
hsa_circ_0000419,Lung adenocarcinoma,0.4331
hsa_circ_0006873,Lung adenocarcinoma,0.4327
hsa_circ_0079593,Lung adenocarcinoma,0.4326
hsa_circ_0041796,Lung adenocarcinoma,0.4322
hsa_circ_0002711,Lung adenocarcinoma,0.4319
hsa_circ_0051240,Lung adenocarcinoma,0.4318
circ_0008928,Lung adenocarcinoma,0.4317
hsa_circ_0136666,Lung adenocarcinoma,0.4316
hsa_circ_0070963,Lung adenocarcinoma,0.4315
